,nbo words,nbo word count,review words,review word count,descrip words,descrip word count
436,active,33,paulette,71,accommodate,106
437,6,33,lylie,71,explore,105
438,directly,33,free,70,washer/dryer,105
439,"nearby,",33,space.,70,lower,104
440,plus,33,distance.,70,silver,104
441,nestled,32,cabin,70,fresh,104
442,back,32,en,69,screen,104
443,things,32,spend,69,listing,104
444,hour,32,ideal,69,little,104
445,cafes,32,20,69,gorgeous,104
446,"bar,",32,water,69,self,104
447,ten,32,"also,",69,complete,103
448,tourist,32,outside,69,much,103
449,life,32,thing,69,neighborhoods,103
450,"safe,",32,street.,69,top-notch,103
451,7,32,shops,69,anacostia,103
452,happy,32,apt,69,person,102
453,call,32,tourist,68,double,102
454,bath,32,fresh,68,cooking,102
455,bed,32,top,68,provides,102
456,thai,31,described,68,brick,102
457,trails,31,"kitchen,",68,cleaning,102
458,walk),31,le,68,visiting,101
459,please,31,wife,67,7,101
460,yes!,31,"home,",67,let,101
461,monuments,31,bars,67,throughout,101
462,locals,31,sights,67,stores,101
463,"buy,",31,truly,67,"congress,",101
464,delicious,31,attentive,67,sunny,100
465,end,31,internet,67,amazing,100
466,"building,",31,1,67,food,100
467,transit,31,floor,66,staying,100
468,rose's,31,may,66,there's,99
469,police,31,traveling,66,old,99
470,"restaurant,",30,arrival.,66,steel,99
471,central,30,liz,66,classic,99
472,eateries,30,quiet.,66,victorian,99
473,eat,30,need.,66,30,98
474,wonderland,30,nick,66,south,98
475,numerous,30,advice,65,"dining,",98
476,(4,30,spot,65,provided.,98
477,apartment.,30,liked,65,"coffee,",98
478,tree,30,"beautiful,",65,museums.,97
479,centrally,30,town.,64,nw,97
480,music,30,them.,64,host,97
481,"area,",30,welcomed,64,comfort,97
482,past,30,people.,64,tv.,97
483,8,30,shower,64,huge,96
484,michelin,30,mall.,64,"washer/dryer,",96
485,independent,29,cute,64,pass,96
486,peaceful,29,almost,64,heights.,96
487,parks.,29,out.,64,"clean,",96
488,fantastic,29,five,64,mount,96
489,mostly,29,via,64,spot,96
490,parts,29,"all,",64,market.,96
491,mins,29,circle,64,"court,",96
492,"university,",29,un,64,answer,95
493,"starbucks,",29,stops,64,ceiling,95
494,you’ll,29,think,64,morgan,95
495,flea,29,share,63,needed.,95
496,/,28,person,63,situated,95
497,enough,28,in.,63,foam,95
498,downtown.,28,line,63,part,95
499,pretty,28,perfectly,63,towels,95
500,built,28,charlotte,63,"beds,",94
501,gorgeous,28,visit.,63,"adventurers,",94
502,super,28,cat,63,organic,94
503,multiple,28,nat,63,distance.,94
504,dive,28,max,63,art,93
505,italian,28,forward,62,visit,93
506,professionals,28,welcoming.,62,unit.,93
507,"shop,",28,less,62,"building,",93
508,blocks),28,conference,62,howard,92
509,museum,28,along,62,anything,92
510,folger,28,marina,62,homes,92
511,teeter,28,busy,61,tree-lined,91
512,grab,28,useful,61,garage,91
513,well.,27,family.,61,options,91
514,experience,27,rental,61,code,90
515,eclectic,27,wish,61,porch,89
516,dogs,27,accommodations,61,travelers.,89
517,"safeway,",27,sleep,61,capitol.,89
518,offer,27,it!,61,travel,89
519,newly,27,nearby.,61,"zoo,",89
520,wide,27,business,61,mt.,89
521,here.,27,flexible,61,internet,89
522,property,27,entrance,61,permit,89
523,"nightlife,",27,responded,61,mattresses,89
524,supermarkets,27,pass,61,granite,89
525,ave.,27,daughter,60,rest,88
526,awesome,27,slept,60,travelers,88
527,quite,27,kept,60,tons,88
528,activities,27,everything.,60,teeter,88
529,yards,27,huge,60,tourist,87
530,busy,27,directions,59,sleeper,87
531,"groceries,",27,around.,59,nationals,87
532,blocks.,27,privacy,59,"maker,",86
533,movie,27,"there,",59,"netflix,",86
534,(phone,27,takes,59,group,86
535,shakespeare,27,restaurant,59,light.,86
536,congressional,27,"helpful,",59,use.,86
537,target,27,we'd,59,walkable,85
538,(5,26,i've,58,lock,85
539,saturdays,26,transport,58,"parking,",85
540,hottest,26,leave,58,"fridge,",85
541,century,26,times,58,.,85
542,"streets,",26,problems,58,premium,85
543,"pharmacy,",26,needs.,58,rooftop,85
544,coupe,26,recommended.,58,nation's,85
545,scene.,26,thoughtful,58,excellent,84
546,president,26,"us,",58,email,84
547,morning,26,son,58,"desk,",84
548,available,26,towels,57,downtown.,84
549,recommendations,26,"again,",57,"dryer,",84
550,business,26,beds,57,walk.,84
551,air,26,throughout,57,set,84
552,away),26,easy.,57,attractions,84
553,kids,26,second,57,exposed,84
554,offer.,26,totally,57,nightlife,84
555,scene,26,studio,57,desk,83
556,know,26,provide,56,"renovated,",83
557,"saint,",26,pour,56,third,83
558,car,26,adams,56,"location,",83
559,rich,26,upon,56,people.,83
560,states,26,ready,56,stations,83
561,vendors,26,central,56,location.,83
562,se,26,dining,56,super,83
563,"yard,",26,reid,56,community,83
564,welcome,25,info,55,note,82
565,day.,25,generous,55,"stores,",82
566,taqueria,25,thoroughly,55,dryer.,82
567,11,25,try,55,personal,81
568,section,25,me.,55,centrally,81
569,tennis,25,property,55,"morgan,",81
570,"petworth,",25,bed.,55,kitchenette,81
571,dinner,25,future,55,level.,81
572,breakfast,25,beautifully,55,(with,81
573,"residential,",25,sakhi,55,"refrigerator,",81
574,buses,25,charming,54,zeus,81
575,four,25,"lovely,",54,wifi.,80
576,tour,25,ask,54,(phone,80
577,fort,25,entire,54,bath.,80
578,hot,25,shopping,54,prime,80
579,first,25,nothing,54,subway,80
580,streets.,25,"cozy,",54,even,80
581,office,25,reed,54,multiple,80
582,brentwood,25,more.,53,reviews,80
583,buy,25,with.,53,"text,",80
584,foods,25,i'll,53,woodley,80
585,–,24,u,53,patio.,79
586,"coffee,",24,fabulous,53,more.,79
587,bon,24,sweet,53,keep,79
588,"bus,",24,building,53,water,79
589,corner.,24,buses,52,end,79
590,years.,24,attractions,52,east,78
591,amenities,24,evening,52,trendy,78
592,interesting,24,chance,52,meridian,78
593,cemetery,24,talk,52,june,78
594,think,24,said,52,off-street,77
595,trails.,24,dryer,52,sleeping,77
596,"families,",24,cook,52,offer.,77
597,weekends,24,picked,52,"shopping,",77
598,hidden),24,answered,52,wireless,77
599,theater,24,open,52,five,77
600,cafes.,24,hospitality,51,ask,77
601,dog,24,furnished,51,traveling,77
602,row.,24,sightseeing,51,original,77
603,club,24,cards,51,professional,76
604,(1,24,red,51,lot,76
605,unit,24,safe.,51,bikeshare,76
606,minutes.,23,booking,51,queen-sized,75
607,convention,23,modern,51,1/2,75
608,washington's,23,columbia,51,memory,75
609,due,23,else,50,urban,75
610,diner,23,contact,50,days,75
611,bakery,23,anyone.,50,amazon,75
612,drinks,23,hotel.,50,futon,75
613,lincoln's,23,already,50,"cozy,",75
614,"options,",23,questions.,50,zoo,75
615,makes,23,old,50,"closet,",74
616,provide,23,meeting,50,exclusively,74
617,sites,23,accommodation,50,u.s.,74
618,"beyond,",23,detailed,50,upper,74
619,circle.,23,recommendations,50,"travelers,",74
620,going,23,georgetown,50,relaxing,74
621,trees,23,check-in,50,remodeled,74
622,thip,23,desiree,50,you.,74
623,miles),23,tony,50,"oven,",74
624,"monuments,",23,phone,49,seating,74
625,"charming,",23,yet,49,"row,",74
626,"museum,",23,wine,49,cleveland,74
627,"chipotle,",23,bikeshare,49,speed,73
628,recreation,22,value,49,upscale,73
629,hustle,22,pleased,49,adjacent,73
630,bustle,22,key,49,"dishwasher,",73
631,qualia,22,foods,49,apt,73
632,international,22,put,49,island,73
633,road,22,recommended!,49,rent,72
634,post,22,bathroom.,49,1.5,72
635,options.,22,allowed,49,wood,72
636,boasts,22,checked,49,request.,72
637,try,22,hosts!,48,"private,",72
638,community.,22,shared,48,guest.,72
639,favorites,22,immediately,48,(see,72
640,30,22,"warm,",48,able,72
641,saint,22,vita,48,rental,71
642,surrounded,22,tea,48,netflix,71
643,"walkable,",22,decorated,48,things,71
644,retail,22,residential,48,"spacious,",70
645,"club,",22,drove,48,"bathrooms,",70
646,",",22,"accommodating,",48,hot,70
647,head,22,clear,48,tea,70
648,vegan,22,"however,",48,nightlife.,70
649,sure,22,"coffee,",48,storage,70
650,"giant,",22,beyond,47,getting,70
651,.,22,cooking,47,fully-equipped,70
652,addition,22,providing,47,fun,70
653,del,21,tour,47,cook,70
654,"porches,",21,wonderful.,47,"center,",69
655,summer,21,explore,47,plan,69
656,1.5,21,hesitate,47,linens,69
657,lines.,21,arrived.,47,favorite,69
658,charm,21,all.,47,basic,69
659,upscale,21,drive,47,"light,",69
660,liquor,21,different,47,sitting,69
661,leafy,21,better.,47,11th,69
662,supermarket,21,keep,47,side,68
663,surrounding,21,group,47,it’s,68
664,featuring,21,actually,47,"downtown,",68
665,cleaners,21,sofa,47,run,68
666,highly,21,heart,47,12,68
667,"however,",21,deon,47,north,67
668,would,21,due,46,keurig,67
669,outstanding,21,back.,46,yet,67
670,cream,21,prepared,46,working,67
671,use,21,"street,",46,full-size,67
672,museums.,21,checking,46,longer-term,67
673,gives,21,steps,46,met,67
674,score,21,larry,46,safeway,66
675,hosts,21,"space,",45,14,66
676,university.,21,airport,45,maker,66
677,"events,",21,rest,45,historical,66
678,capitol.,21,airbnb),45,below).,66
679,zoo.,21,appartment,45,monuments,65
680,"gardens,",20,"tv,",45,note:,65
681,"run,",20,photos,45,yard.,65
682,culture,20,noise,45,entertainment,65
683,"businesses,",20,apt.,45,one-bedroom,65
684,jogging,20,fine,45,"away,",65
685,cocktail,20,answer,45,per,65
686,casual,20,"welcoming,",44,basement.,65
687,block.,20,delicious,44,sq,65
688,transportation.,20,convention,44,enter,65
689,brick,20,enjoyable,44,bars.,65
690,•,20,dinner,44,counter,65
691,corridor.,20,walk.,44,location!,65
692,dc!,20,taxi,44,focus,65
693,extremely,20,working,44,brookland,65
694,"st,",20,downtown.,44,convenience,64
695,yellow,20,much.,44,included.,64
